"`id`","`name`","`login`"
"2411559","h2o","0xdata"
"132014","tandem","12spokes"
"132026","mls-gem","42floors"
"41127","ftw.book","4teamwork"
"41180","ftw.blog","4teamwork"
"41197","ftw.workspace","4teamwork"
"56043","ftw.tabbedview","4teamwork"
"140647","ftw.poodle","4teamwork"
"141358","ftw.table","4teamwork"
"287042","ftw.file","4teamwork"
"294678","ftw.notification.base","4teamwork"
"1433342","ftw.contentpage","4teamwork"
"1437793","simplelayout.base","4teamwork"
"1502958","ftw.participation","4teamwork"
"4983","api-documentation","500px"
"46759","ssGWT-lib","A24Group"
"51600","dmix","abarisain"
"178035","commons-amqp","abiquo"
"235240","abtt","ABTech"
"289481","git-practice","abztrakt"
"347655","liquid","acm-uiuc"
"12571","active_scaffold","activescaffold"
"801441","Activiti","Activiti"
"6366","pmd","adangel"
"24199","ApAM","AdeleResearchGroup"
"122767","extension_libero_manufacturing","adempiere"
"18260","adhearsion","adhearsion"
"252680","aerogear-android","aerogear"
"65187","merchant","agiliq"
"36844","FlashVolunteer","agoln"
"19754","quran_android","ahmedre"
"42335","inasafe","AIFDR"
"36005","airbrake","airbrake"
"40428","akvo-rsr","akvo"
"105762","akvo-flow","akvo"
"50020","qibuild","aldebaran"
"1497484","pitivi","aleb"
"9514","jsonapi","alecgorge"
"52194","turses","alejandrogomez"
"107290","KBDH-VN","alethiophile"
"32500","django-taggit","alex"
"16729","geocoder","alexreisner"
"4819","opencms-core","alkacon"
"4023","ralph","allegro"
"11379","smart-answers","alphagov"
"19844","publisher","alphagov"
"25156","govuk_content_models","alphagov"
"41465","business-support-finder","alphagov"
"42750","panopticon","alphagov"
"42952","whitehall","alphagov"
"44108","slimmer","alphagov"
"52701","plek","alphagov"
"56941","signonotron2","alphagov"
"58827","gds-api-adapters","alphagov"
"58896","govspeak","alphagov"
"59519","frontend","alphagov"
"70769","rummager","alphagov"
"128476","imminence","alphagov"
"154208","licence-finder","alphagov"
"172825","trade-tariff-backend","alphagov"
"185366","smokey","alphagov"
"190783","trade-tariff-frontend","alphagov"
"288440","EFG","alphagov"
"292891","design-principles","alphagov"
"333984","gds-sso","alphagov"
"352799","calendars","alphagov"
"483343","govuk_content_api","alphagov"
"643805","feedback","alphagov"
"777221","support","alphagov"
"1958011","travel-advice-publisher","alphagov"
"2408921","release","alphagov"
"2749107","fabric-scripts","alphagov"
"316","kaminari","amatsuda"
"108091","amcgala","amcgala"
"71128","script.xbmc.subtitles","amet"
"56900","anathema","anathema"
"4635","andlytics","AndlyticsProject"
"40388","split","andrew"
"1378066","24pullrequests","andrew"
"25445","platform_frameworks_base","android"
"73636","Flashtool","Androxyde"
"9705","redis-py","andymccurdy"
"121975","owlapi","ansell"
"833","redis-doc","antirez"
"63256","mozaik","antolikjan"
"18584","frameworks_base","AOKP"
"48016","packages_apps_ROMControl","AOKP"
"143738","packages_apps_Settings","AOKP"
"4873","lucene-solr","apache"
"8304","cassandra","apache"
"12713","hive","apache"
"13773","hbase","apache"
"13802","hadoop-common","apache"
"13864","struts2","apache"
"36130","pig","apache"
"43726","mahout","apache"
"47945","wicket","apache"
"53170","flume","apache"
"57510","oozie","apache"
"62238","camel","apache"
"81748","libcloud","apache"
"87806","zookeeper","apache"
"148389","qpid","apache"
"226771","karaf","apache"
"289368","accumulo","apache"
"310014","giraph","apache"
"337902","tika","apache"
"340521","ofbiz","apache"
"638872","qpid-proton","apache"
"699871","incubator-drill","apache"
"704428","sling","apache"
"1223023","clerezza","apache"
"1619385","cordova-android","apache"
"10346","pyes","aparo"
"5444","usergrid-stack","apigee"
"18520","cells","apotonick"
"39648","apotomo","apotonick"
"63743","appfuse","appfuse"
"2676","doorkeeper","applicake"
"64630","appscale","AppScale"
"104780","appscale-tools","AppScale"
"1854341","appverse-web","Appverse"
"18353","Pydev","aptana"
"16246","mongoid-history","aq1018"
"692866","GWTP","ArcBees"
"5640","Arduino","arduino"
"23447","jobsworth","ari"
"60338","arquillian-core","arquillian"
"1298","koala","arsduo"
"42626","spyne","arskom"
"680826","archivematica","artefactual"
"10296","emoji-cheat-sheet.com","arvida"
"42011","vanity","assaf"
"19770","alfanous","assem-ch"
"66968","atlas","atlasapi"
"85135","atlas-model","atlasapi"
"85154","atlas-persistence","atlasapi"
"140373","atlas-feeds","atlasapi"
"224233","atlas-applications","atlasapi"
"239426","atlas-search","atlasapi"
"34627","Denizen","aufdemrand"
"14901","autotest","autotest"
"954347","autotest-client-tests","autotest"
"956098","virt-test","autotest"
"1397979","aws-sdk-ruby","aws"
"1912872","aws-cli","aws"
"35039","AxonFramework","AxonFramework"
"33666","wakame-vdc","axsh"
"66190","OpenTreeMap","azavea"
"18234","tmuxinator","aziz"
"317806","scilifelab","b97pla"
"27739","balanced-ruby","balanced"
"327301","balanced-python","balanced"
"1922523","balanced-docs","balanced"
"366","barchart-feed-ddf","barchart"
"16719","basex","BaseXdb"
"6875","riak-ruby-client","basho"
"17196","riak-python-client","basho"
"24428","riak-java-client","basho"
"1353938","basho_docs","basho"
"1377478","giddyup","basho"
"12158","ruby-style-guide","bbatsov"
"687922","rubocop","bbatsov"
"18358","webmock","bblimke"
"7558","communityengine","bborn"
"138238","beam","bcdev"
"195656","ceres","bcdev"
"76826","bcfg2","Bcfg2"
"98220","org-ruby","bdewey"
"788376","python-twitter","bear"
"383034","befdata","befdata"
"68610","JGroups","belaban"
"865512","grove","bengler"
"63828","babushka","benhoskings"
"169154","GTNA","BenjaminSchiller"
"10505","gunicorn","benoitc"
"48858","betterFORM","betterFORM"
"4765","bigbluebutton","bigbluebutton"
"56481","big-brother-bot","BigBrotherBot"
"1639388","icinga","Bigpoint"
"38464","Bika-LIMS","bikalabs"
"1635","totalfinder-i18n","binaryage"
"4325262","mindboggle","binarybottle"
"33565","authlogic","binarylogic"
"100722","biojava","biojava"
"55275","biopython","biopython"
"256086","bitcoin.org","bitcoin"
"57245","minitest-rails","blowmage"
"3761","bndtools","bndtools"
"13573","bnd","bndtools"
"11890","addmeto.cc","bobuk"
"6665655","Bookie","bookieio"
"3816","boto","boto"
"5401015","GeoGit","boundlessgeo"
"2605500","boxen","boxen"
"53552","django-tables2","bradleyayers"
"96722","enumerize","brainspec"
"1372237","Potee","BrandyMint"
"41885","django-userena","bread-and-pepper"
"67453","jdbi","brianm"
"1129","mysql2","brianmario"
"6285","Diamond","BrightcoveOS"
"313","IGV","broadinstitute"
"2309","DemoSite","BroadleafCommerce"
"16948","BroadleafCommerce","BroadleafCommerce"
"13191","brooklyn","brooklyncentral"
"23052","buildbot","buildbot"
"2302110","BuildCraft","BuildCraft"
"1957","CraftBukkit","Bukkit"
"5378","Bukkit","Bukkit"
"3825551","bundler","bundler"
"681137","bup","bup"
"2857","zeus","burke"
"20381","numerical_computing","byuimpact"
"13718","vraptor","caelum"
"1965","docs","cakephp"
"15664","django-timepiece","caktus"
"2791","calabash-android","calabash"
"2282612","blueprint","calblueprint"
"54128","createsend-python","campaignmonitor"
"3105682","c2cgeoportal","camptocamp"
"54270","onebusaway-nyc","camsys"
"1808","subscription-manager","candlepin"
"2396","candlepin","candlepin"
"21625","python-rhsm","candlepin"
"66620","thumbslug","candlepin"
"712180","raygun","carbonfive"
"27550","pg_search","Casecommons"
"120908","with_model","Casecommons"
"4751","Catroid","Catrobat"
"49895","Paintroid","Catrobat"
"15752","testng","cbeust"
"1115","django-celery","celery"
"12253","kombu","celery"
"26624","celery","celery"
"416519","py-amqp","celery"
"125703","cecog","CellCognition"
"131081","CellProfiler","CellProfiler"
"231","celluloid","celluloid"
"3402","reel","celluloid"
"6966","CoAnSys","CeON"
"71334","teuthology","ceph"
"90432","ceph-cookbooks","ceph"
"357450","ceph-qa-chef","ceph"
"805498","ceph-deploy","ceph"
"3680","ceylon-lang.org","ceylon"
"3721","ceylon-spec","ceylon"
"3732","ceylon-ide-eclipse","ceylon"
"62373","ceylon-compiler","ceylon"
"3825774","cgeo","cgeo"
"20449","cloudbiolinux","chapmanb"
"1651970","better_errors","charliesome"
"24167","chipKIT32-MAX","chipKIT32"
"65941","livestreamer","chrippa"
"3200","compass","chriseppstein"
"15391","xhtml2pdf","chrisglass"
"67775","e-cidadania","cidadania"
"18410","cinch","cinchrb"
"190381","cids-custom-wuppertal","cismet"
"1367615","cismet-commons","cismet"
"30574","Citizens2","CitizensDev"
"15883","candidator","ciudadanointeligente"
"243655","oz","clalancette"
"106514","pyclaw","clawpack"
"618195","ProMotion","clearsightstudio"
"5874","clojure","clojure"
"45658","hue","cloudera"
"272706","CloudBot","ClouDev"
"12321","vcap-java","cloudfoundry"
"20786","bosh","cloudfoundry"
"28824","cloud_controller_ng","cloudfoundry"
"31031","vcap-services-base","cloudfoundry"
"37347","vcap-yeti","cloudfoundry"
"46710","warden","cloudfoundry"
"210668","dea_ng","cloudfoundry"
"2252397","login-server","cloudfoundry"
"25467","cloudify","CloudifySource"
"70476","cms","cms-dev"
"1891","cobbler","cobbler"
"18987","splinter","cobrateam"
"4114","CocoaPods","CocoaPods"
"5520","Specs","CocoaPods"
"261125","Xcodeproj","CocoaPods"
"439393","cocoapods.org","CocoaPods"
"1390850","Core","CocoaPods"
"663","metrics","codahale"
"34153","backbone-rails","codebrew"
"8703","brigade","codeforamerica"
"80074","spinach","codegram"
"1571520","codetriage","codetriage"
"909323","Slice","Cognifide"
"12831","peewee","coleifer"
"24575","services","collectionspace"
"12392","collective.developermanual","collective"
"23706","Products.EasyNewsletter","collective"
"55816","collective.quickupload","collective"
"56295","buildout.python","collective"
"75274","eea.facetednavigation","collective"
"131027","collective.polls","collective"
"160896","icalendar","collective"
"161254","collective.cover","collective"
"240592","collective.plonetruegallery","collective"
"310505","collective.nitf","collective"
"365506","Products.ATVocabularyManager","collective"
"729337","collective.solr","collective"
"28069","awesome_nested_set","collectiveidea"
"119078","tinder","collectiveidea"
"6149","simplecov","colszowka"
"8310","comfortable-mexican-sofa","comfy"
"40080","concerto","concerto"
"26423","CONNECT","CONNECT-Solution"
"126912","oer.exports","Connexions"
"230023","rhaptos.cnxmlutils","Connexions"
"1504740","webview","Connexions"
"28630","Bokeh","ContinuumIO"
"1369701","conda","ContinuumIO"
"187172","cs-studio","ControlSystemStudio"
"1362563","corobots","corobotics"
"78275","coshx","coshx"
"6995","gae-boilerplate","coto"
"73623","couchbase-python-client","couchbase"
"109121","libv8","cowboyd"
"1721268","crawljax","crawljax"
"224958","blog.crowdint.com","crowdint"
"582636","crowdblog","crowdint"
"72064","mpdx","CruGlobal"
"4059324","missionhub","CruGlobal"
"497205","nengo","ctn-waterloo"
"3615174","nengo_1.4","ctn-waterloo"
"1446669","accumulo","ctubbsii"
"4977","cuckoo","cuckoobox"
"1678","cucumber","cucumber"
"6994","gherkin","cucumber"
"34268","cucumber-rails","cucumber"
"48764","cucumber-jvm","cucumber"
"1612","android_packages_apps_Gallery2","CyanogenMod"
"19457","android_packages_apps_Trebuchet","CyanogenMod"
"57849","android_libcore","CyanogenMod"
"57888","android_packages_apps_Exchange","CyanogenMod"
"57890","android_packages_apps_DSPManager","CyanogenMod"
"57895","android_packages_apps_CMWallpapers","CyanogenMod"
"57899","android_packages_apps_CellBroadcastReceiver","CyanogenMod"
"57902","android_packages_apps_Calendar","CyanogenMod"
"57904","android_packages_apps_Calculator","CyanogenMod"
"57908","android_packages_apps_Bluetooth","CyanogenMod"
"57922","android_packages_inputmethods_LatinIME","CyanogenMod"
"57932","android_packages_apps_Torch","CyanogenMod"
"57937","android_packages_apps_Stk","CyanogenMod"
"57944","android_packages_apps_SoundRecorder","CyanogenMod"
"57957","android_packages_apps_Phone","CyanogenMod"
"57986","android_packages_wallpapers_Galaxy4","CyanogenMod"
"57994","android_packages_providers_TelephonyProvider","CyanogenMod"
"831964","android_device_asus_tf700t","CyanogenMod"
"1012601","android_packages_apps_CMUpdater","CyanogenMod"
"1553917","android_frameworks_opt_telephony","CyanogenMod"
"1934585","android_packages_apps_LockClock","CyanogenMod"
"2271163","android_device_samsung_t0lte","CyanogenMod"
"5629","django-pipeline","cyberdelia"
"5142","cython","cython"
"135695","JDEECo","d3scomp"
"62009","wand","dahlia"
"26366","Cura","daid"
"237742","pipeline-cli","daisy-consortium"
"56538","opennaas","dana-i2cat"
"477323","netconf4j","dana-i2cat"
"14765","AntennaPod","danieloeh"
"70101","mgwt","dankurka"
"83788","redmine_dmsf","danmunn"
"276659","capo","dannyjacobs"
"10187","dogapi","DataDog"
"506636","chef-datadog","DataDog"
"914064","documentation","DataDog"
"63401","datasift-java","datasift"
"76284","datasift-python","datasift"
"237818","datasift-ruby","datasift"
"1447085","java-driver","datastax"
"78029","jedi","davidhalter"
"125357","dawn-common","DawnScience"
"23950","dbpedia-spotlight","dbpedia-spotlight"
"1615052","GG-mvp","ddgriffin"
"226268","playorm","deanhiller"
"1960221","deegree3","deegree"
"6887","bottle","defnull"
"2975","gist","defunkt"
"233024","developer.offerengine.com","demandchain"
"87035","framework","demoiselle"
"215708","laboratory","demoiselle"
"3553629","valhal","Det-Kongelige-Bibliotek"
"176267","doctest","devbliss"
"1872195","MONK","DFE"
"131052","emcee","dfm"
"1892355","businesshorizon2","DHBW-Karlsruhe"
"960807","phoenix","dianping"
"1711636","cat","dianping"
"2812","diaspora","diaspora"
"78397","django-lfs","diefenbach"
"73635","dg","digitalgreenorg"
"10252","commcare-hq","dimagi"
"38896","logistics","dimagi"
"157123","payments","dimagi"
"295815","casexml","dimagi"
"306638","dimagi-utils","dimagi"
"857477","mvp-reports","dimagi"
"2369446","MyJobs","DirectEmployers"
"6286","dita-ot","dita-ot"
"1043","django-cms","divio"
"1226","django","django"
"4624","djangoproject.com","django"
"42745","django-debug-toolbar","django-debug-toolbar"
"28304","django-extensions","django-extensions"
"3684","django-mptt","django-mptt"
"9174","mongodb-engine","django-nonrel"
"33484","pycrypto","dlitz"
"12307","CRABServer","dmwm"
"13116","WMCore","dmwm"
"2449624","dx-toolkit","dnanexus"
"44086","docdoku-plm","docdoku"
"282570","capybara-email","dockyard"
"2195408","studlan","dotKom"
"41121","vagrant-vbguest","dotless-de"
"855302","omf","dpinney"
"3594","jbpm","droolsjbpm"
"12333","drools","droolsjbpm"
"14398","guvnor","droolsjbpm"
"51271","droolsjbpm-knowledge","droolsjbpm"
"120232","droolsjbpm-integration","droolsjbpm"
"307422","jbpm-console-ng","droolsjbpm"
"2980781","optaplanner","droolsjbpm"
"321328","stb-tester","drothlis"
"39214","hg","dscho"
"1398133","pyAirviro","dsegerss"
"37843","DSpace","DSpace"
"86641","rundeck","dtolabs"
"42087","zeroclickinfo-fathead","duckduckgo"
"142415","kevoree","dukeboard"
"2554","dynjs","dynjs"
"41950","e2openplugin-OpenWebif","E2OpenPlugins"
"43858","cites-meetings","eaudeweb"
"39882","ecell3","ecell"
"4784541","vert.x","eclipse"
"23102","redmine","edavis10"
"72279","chef-mongodb","edelight"
"3929830","xqueue","edx"
"3945833","cs_comments_service","edx"
"4095","elasticsearch","elasticsearch"
"2364573","cookbook-elasticsearch","elasticsearch"
"226955","script.module.urlresolver","Eldorados"
"74349","ella","ella"
"422","ember-rails","emberjs"
"163346","ffaker","EmmanuelOga"
"1503167","ENdoSnipe","endosnipe"
"852","ey-cloud-recipes","engineyard"
"72811","todo","engineyard"
"158212","engineyard-serverside","engineyard"
"163246","engineyard","engineyard"
"40854","cms-ce","enonic"
"144230","documentation","enStratus"
"44235","entando-plugins-parent","entando"
"105330","entando-core-engine","entando"
"28175","chaco","enthought"
"30708","envisage","enthought"
"63788","traits","enthought"
"68102","enstaller","enthought"
"170425","encore","enthought"
"201224","traitsui","enthought"
"223846","pyface","enthought"
"287955","apptools","enthought"
"1052355","codetools","enthought"
"1357","susy","ericam"
"608","errbit","errbit"
"1558394","esgf-web-fe","ESGF"
"4143","Essentials","essentials"
"10269","eucalyptus","eucalyptus"
"17373","eutester","eucalyptus"
"1910234","se34euca","eucalyptus"
"1842680","eventlet","eventlet"
"1291","android_frameworks_base","Evervolv"
"15651","capifony","everzet"
"2304131","evrythng-tools","evrythng"
"11821","androidannotations","excilys"
"9807","social","exoplatform"
"712930","crowdin-maven-plugin","exoplatform"
"45947","expertiza","expertiza"
"450517","ExtrabiomesXL","ExtrabiomesXL"
"5167","fabric","fabric"
"7484311","fabric8","fabric8io"
"22791","tornado","facebook"
"6260617","presto","facebook"
"10679","fail2ban","fail2ban"
"1623972","fairnopoly","fairnopoly"
"67585","django-blog-zinnia","Fantomas42"
"38627","jackson-core","FasterXML"
"38717","jackson-databind","FasterXML"
"361761","jackson-datatype-guava","FasterXML"
"17735","fat_free_crm","fatfreecrm"
"590944","C-PAC","FCP-INDI"
"2300288","fedmsg","fedora-infra"
"37492","feincms","feincms"
"7317","scribe-java","fernandezpablo85"
"499862","taxtastic","fhcrc"
"75619","fiji","fiji"
"1976768","karmaworld","FinalsClub"
"127064","Hydra","Findwise"
"453979","FlansMod","FlansMods"
"8024","eden","flavour"
"69663","Flexget","Flexget"
"139288","phony","floere"
"32076","oftest","floodlight"
"2888","fluentd","fluent"
"1396955","fluentd-docs","fluent"
"36413","bullet","flyerhzm"
"10587","chef-rvm","fnichol"
"2093","fog","fog"
"9615","core","forge"
"1364457","ForgeEssentialsMain","ForgeEssentials"
"521641","frab","frab"
"54664","www.freedomsponsors.org","freedomsponsors"
"9354","fred-staging","freenet"
"17481","mocha","freerange"
"211549","freeseer","Freeseer"
"7131","SleekXMPP","fritzy"
"5190737","rails-base","fs"
"24638","django-fusionbox","fusionbox"
"93850","django-project-template","fusionbox"
"1490","lettuce","gabrielfalcao"
"752309","HTTPretty","gabrielfalcao"
"3698773","gaslight.co","gaslight"
"35649","gatein-portal","gatein"
"18571","githug","Gazler"
"66119","err","gbin"
"108635","excon","geemus"
"15985","oq-engine","gem"
"2561419","oq-hazardlib","gem"
"160388","bhottu","gentoomen"
"24302","FBReaderJ","geometer"
"685714","MTpy","geophysics"
"129339","OWSLib","geopython"
"849289","georchestra","georchestra"
"449190","geo-platform","geosdi"
"5516","geoserver","geoserver"
"21597","geotools","geotools"
"158753","lantern","getlantern"
"5342282","nikola","getnikola"
"7770","pelican","getpelican"
"181526","sentry","getsentry"
"189579","raven-python","getsentry"
"15379","kramdown","gettalong"
"2263329","ggc-connect","ggc-itec"
"11223","planet.clojure","ghoseb"
"20225","social_stream","ging"
"35737","mailboxer","ging"
"30543","gitblit","gitblit"
"34","android","github"
"168","markup","github"
"3054","developer.github.com","github"
"3479","github-services","github"
"5931","janky","github"
"15058","gitscm-next","github"
"24397","linguist","github"
"1385797","gemoji","github"
"4399108","hub","github"
"6026","gitlabhq","gitlabhq"
"1381021","gitlab-ci","gitlabhq"
"3056652","www.gittip.com","gittip"
"138104","katello-api","gkhachik"
"1543051","glastopf","glastopf"
"230796","Tor2web-3.0","globaleaks"
"1885741","goldrush","goldrush"
"53652","google-api-ruby-client","google"
"3969","gpodder","gpodder"
"2281","gradle","gradle"
"937","grails-core","grails"
"62085","carbon","graphite-project"
"1554","graylog2-server","Graylog2"
"12747","active_admin","gregbell"
"36666","the-blue-alliance","gregmarra"
"67522","jagger","griddynamics"
"7292","groovy-eclipse","groovy"
"76442","groovy-core","groovy"
"2470","parallel_tests","grosser"
"9608","guard-rspec","guard"
"16166","guard","guard"
"14876","fakeredis","guilleiguaran"
"84712","gwt-maven-plugin","gwt-maven-plugin"
"13033","gwt-bootstrap","gwtbootstrap"
"17974","gxa","gxa"
"6883","haml","haml"
"20796","hazelcast","hazelcast"
"4125828","pah","Helabs"
"731286","stpol","HEP-KBFI"
"587","heroku-buildpack-ruby","heroku"
"1301","heroku","heroku"
"25307","heroku.rb","heroku"
"74978","toolbelt","heroku"
"227513","umpire","heroku"
"1017448","heroku-pg-extras","heroku"
"89643","frontik","hhru"
"168861","nuts-and-bolts","hhru"
"878519","tornado","hhru"
"3994","hibernate-ogm","hibernate"
"26591","hibernate-orm","hibernate"
"40930","LWC","Hidendra"
"29678","RubyMotionSamples","HipByte"
"32405","RubyMotion","HipByte"
"239269","RubyMotionDocumentation","HipByte"
"9095","hdo-site","holderdeord"
"6270","homebrew-dupes","Homebrew"
"41046","homebrew-games","Homebrew"
"61887","homebrew-versions","Homebrew"
"230961","homebrew-science","Homebrew"
"6866209","homebrew","Homebrew"
"4627","hornetq","hornetq"
"398289","learnosm","hotosm"
"2345930","experimental","howaboutwe"
"1347811","easybuild-easyconfigs","hpcugent"
"1922146","spike","Hudon"
"103508","HUSACCT","HUSACCT"
"755018","omnibus_updater","hw-cookbooks"
"1348190","graphite","hw-cookbooks"
"2306335","artoo","hybridgroup"
"3263294","hy","hylang"
"90618","hyperspy","hyperspy"
"326504","Icy-Kernel","Icy-imaging"
"13285","oauthlib","idan"
"1428190","openerp-idu-addons","idu-bogota"
"213856","git-scripts","iFixit"
"265199","cadcVOFS","ijiraq"
"64908","lazyflow","Ilastik"
"152649","volumina","Ilastik"
"1226045","ilastik","Ilastik"
"35847","rapns","ileitch"
"18116","imglib","imagej"
"56551","imagej","imagej"
"5209","octopress","imathis"
"6989337","imglib","imglib"
"38343","Kundera","impetus-opensource"
"72251","pycuda","inducer"
"1958","infinispan","infinispan"
"3082691","infinispan-server","infinispan"
"967757","apartment","influitive"
"4573","ironfan","infochimps-labs"
"65747","ironfan-pantry","infochimps-labs"
"146900","vayacondios","infochimps-labs"
"5613053","Web-Karma","InformationIntegrationGroup"
"135020","dbf","infused"
"211407","collective.salesforce.fundraising","innocenceproject"
"2748122","i4u","insignia4u"
"4866","canvas-lms","instructure"
"43735","tempo","intalio"
"16011","intercom-ruby","intercom"
"5297","intermine","intermine"
"63996","heritrix3","internetarchive"
"77906","wayback","internetarchive"
"310","grape","intridea"
"10412","omniauth","intridea"
"39849","multi_json","intridea"
"884501","topographica","ioam"
"43727","cob_robots","ipa320"
"70942","de-webapp","iPlantCollaborativeOpenSource"
"389516","ui-applications-module","iPlantCollaborativeOpenSource"
"8319","tatami","ippontech"
"961","ipython","ipython"
"80786","iron_worker_ruby_ng","iron-io"
"210608","iron_mq_ruby","iron-io"
"13666","main","IronLanguages"
"13347","orbisgis","irstv"
"5465","iSENSE-Hardware","isenseDev"
"17635","rSENSE","isenseDev"
"62852","isfit.org","isfit"
"154882","internal.isfit.org","isfit"
"56047","testbed-runtime","itm"
"91668","wsn-device-drivers","itm"
"25765","brubeck","j2labs"
"755377","ka-lite","jamalex"
"331002","FHNW-Informatik-Zusammenfassungen","janfaessler"
"9459","cas","Jasig"
"70480","uPortal","Jasig"
"1384732","slipp","javajigi"
"411","whenever","javan"
"4190","robotium","jayway"
"5187","maven-android-plugin","jayway"
"171840","jbehave-core","jbehave"
"3763338","fuse","jboss-fuse"
"8612","components","jboss-switchyard"
"24828","quickstarts","jboss-switchyard"
"21343","narayana","jbosstm"
"1370457","jbosstools-webservices","jbosstools"
"1394747","html-pipeline","jch"
"8131","jclouds","jclouds"
"96401","jclouds-chef","jclouds"
"105521","jclouds-karaf","jclouds"
"107064","jclouds-cli","jclouds"
"333400","jclouds-examples","jclouds"
"68672","mateo","jdmr"
"13255","veewee","jedi4ever"
"5191","fuubar","jeffkreeftmeijer"
"6801328","jekyll","jekyll"
"6624","dulwich","jelmer"
"18159","warnings-plugin","jenkinsci"
"20403","subversion-plugin","jenkinsci"
